func_sigla,func_desc,func_nivel
CAS-1,DIR. SUPERINTENDENTE,
PREFEI,PREFEITO,
VEREAD,VEREADOR,
DEP,DEPUTADO ESTADUAL,
DAS,SECRETARIO,1016
NES,SECRETARIO ESPECIAL,86
DEP,Deputado Federal,
SEC,SECRETARIO EXECUTIVO DE AGENCIA DE DESENVOLVIMENTO,
DIRE01,DIRETOR DE DESENVOLVIMENTO,
DAS,ASSESSOR CHEFE,1016
DAS,PRESIDENTE,1016
PREE01,LIQUIDANTE,
CGE,SUPERINTENDENTE,1
DAS-1,CARGO DE DIREÇÃO E ASSESSORAMENTO SUPERIOR-1,
1,MINISTRO DE ESTADO,5
NES,SECRETARIO EXECUTIVO,7
SEC,SECRETARIO DE ESTADO,
SNDR,Senador,1
DEPUTA,DEPUTADO ESTADUAL,NA
DIRE02,DIRETOR,
DIRI01,DIRETOR,
DAS,SECRETARIO NACIONAL,1016
FBC,SECRETARIO EXECUTIVO,DS1
PROC,PROCURADOR DO ESTADO,
CCD,DIRETOR,2
CCD,DIRETOR GERAL,1
SEC,SECRETÁRIO DE ESTADO-CHEFE,
SEC,SECRETÁRIO EXECUTIVO,NA
DIRE01,DIRETOR DE RECURSOS MINERAIS - DRM,
PRESID,PRESIDENTE,
DIRE01,DIRETOR,
DIRE01,DIRETOR DE CONTROLES INTERNOS,
DIRE02,DIRETOR DE CONTROLES INTERNOS,
NA,SECRETARIA DE ESTADO,
REITOR,REITORA,
SECRET,SECRETARIA DE ESTADO,
SEC,SECRETÁRIA DE ESTADO,NA
SECTI,SECRETÁRIA DE ESTADO,
CGE,CORREGEDOR,1
DIRE01,DIRETOR EXECUTIVO,
NES,CHEFE,75
SECRET,SECRETARIO DE ESTADO,
PREE01,DIRETOR-PRESIDENTE,
SEC,SECRETÁRIO EXECUTIVO DA SEMA,
PREI01,PRESIDENTE,
DIRE01,DIRETOR DE ENGENHARIA,
DIRE01,DIRETOR TÉCNICO,
DIRE02,DIRETOR DE ENGENHARIA,
DIRE03,DIRETOR DE ENGENHARIA,
DIRE04,DIRETOR DE ENGENHARIA,
DIRE01,DIRETOR DE ENGENHARIA E MEIO AMBIENTE,
DIRE02,DIRETOR TÉCNICO,
MINTSE,MINISTRO DO TRIBUNAL SUPERIOR ELEITORAL,
NES,CHEFE DA ASSESSORIA ESPECIAL,89
PREE01,DIRETORA SUPERINTENDENTE,
REI,REITORA,NA
DIRE01,DIRETORA TÉCNICA,
DIRI02,DIRETORA DE ADMINISTRAÇÃO E FINANÇAS,
DIRE01,DIRETORA EXECUTIVA DE INOVAÇÃO E TECNOLOGIA,
DIRETO,DIRETOR ADMINISTRATIVO FINANCEIRO,
CCPREV,DIR. ADM. FINANCEIRO,
DIRE01,DIRETOR ADMINISTRATIVO-FINANCEIRO,
DIRE01,DIRETOR DE MICRO E PEQUENAS EMPRESAS,
PREE01,PRESIDENTE - PRESI,
DIRE01,DIRETOR DE GESTÃO CORPORATIVA,
CD,REITOR,1
DIRE01,DIRETOR DE INFRAESTRUTURA,
DEP,DEPUTADO DISTRITAL,
DS-1,DIRETOR SUPERINTENDENTE,
DIRE01,DIRETORA,
DIRI01,DIRETORA EXECUTIVA,
PREE01,DIRETORA PRESIDENTE,
DIR,DIRETOR PRESIDENTE,
DIRE02,DIRETOR EXECUTIVO,
DAS,CHEFE DE GABINETE,1016
AVG-2,DIR. TEC. MED. ALIMENTOS E PROD.TOXICOLOGIA,
SEC,SECRETÁRIO EXECUTIVO DA SEPROR,
PGJ,Procuradora-Geral de Justiça,
4,SECRETARIO DE ESTADO,
CAS-2,DIR. ADMINISTRATIVO,
CAS-2,DIRETOR ADMINISTRATIVO,
1003,DIRETOR PRESIDENTE,
DAS,SECRETARIO EXECUTIVO ADJUNTO,1016
DIRE01,DIRETOR DE RELACIONAMENTO E NEGÓCIO - DRN,
DIRETO,DIRETOR-PRESIDENTE,
PGT,Procurador-Geral do Trabalho,
1315,DIRETOR PRESIDENTE QCE-01,
DIRE01,DIRETORIA DE INOVAÇÃO - DRIN,
CAS-2,DIRETOR DE MÍDIA IMPRESSA,
DAS,CHEFE DA ASSESSORIA,1016
970,DIRETOR PRESIDENTE,
DIRI01,"DIR. PLANEJ, EXPANSÃO MARKETING",
NES,SUBCHEFE,66
SEC,SECRETARIO DE ESTADO,NA
BCD,DIRETOR DO BANCO CENTRAL,IRE
REI,REITOR,NA
DIRE01,DIRETOR ADMINISTRATIVO E JURÍDICO,
DIRE01,DIRETOR DE PLANEJAMENTO,
SEC,SECRETÁRIO EXECUTIVO DO TESOURO DA SEFAZ,
CDS-1,SECRETÁRIO DE ESTADO,
DIRE01,DIRETOR DE NEGÓCIOS,
DIRE02,DIRETOR DE NEGÓCIOS,
DIRE03,DIRETOR DE EMPREENDIMENTOS,
CCD,DIRETOR PRESIDENTE,1
PRES,PRESIDENTE DA AGÊNCIA DE FOMENTO DO ESTADO DO AM - AFEAM,
DIRI01,VICE-PRESIDENTE DE CANAIS,
DIRE01,DIRETOR DE GESTÃO ADMINISTRATIVA E FINANCEIRA,
PREE02,DIRETOR PRESIDENTE,
DIRE01,DIRETOR COMERCIAL,
DIRE02,DIRETOR DE ESTRATÉGIA E ORGANIZAÇÃO,
DIRE03,DIRETOR DE MARKETING E COMUNICAÇÃO,
DIR,DIRETOR-PRESIDENTE,NA
BCP,MINISTRO DE ESTADO,RES
DIRE01,DIRETOR ADMINISTRATIVO E FINANCEIRO,
PREE01,PRESIDENTE,
DIRI01,DIRETOR INDUSTRIAL,
MINTSE,MINISTRO PRESIDENTE DO TRIBUNAL SUPERIOR ELEITORAL,
MINTSE,MINISTRO VICE-PRESIDENTE DO TRIBUNAL SUPERIOR ELEITORAL,
CGE,CHEFE DE GABINETE,1
760,COMANDANTE GERAL BM,
DIRE01,DIRETOR DE GESTÃO PORTUÁRIA,
DAS,PORTA VOZ,1016
DIRE01,"DIRETOR DE OPERAÇÕES, ENGENHARIA E TECNOLOGIA",
DIRE04,"DIRETOR DE OPERAÇÕES, ENGENHARIA E TECNOLOGIA",
DIRE05,"DIRETOR DE OPERAÇÕES, ENGENHARIA E TECNOLOGIA",
DIRE06,"DIRETOR DE OPERAÇÕES, ENGENHARIA E TECNOLOGIA",
PREE03,DIRETOR-PRESIDENTE,
DIRE01,DIRETOR INDUSTRIAL,
PREI02,DIRETOR PRESIDENTE,
DIR,DIRETOR PRESIDENTE,NA
DAS,CARGO DE DIREÇÃO E ASSESSORAMENTO SUPERIOR,
SECRET,SECRETARIO DE ESTADO,NA
PREE02,DIRETOR-PRESIDENTE,
DIRE01,DIRETOR DE DESENVOLVIMENTO HUMANO,
DAS,SUPERINTENDENTE,1016
5,PROCURADOR GERAL DO ESTADO,
DIRE01,VICE PRESIDENTE,
CGE,SECRETARIO EXECUTIVO,1
DIRE01,DIR. DE ADMINISTRAÇÃO,
PRES,PRESIDENTE,
DIRE01,VICE-PRESIDENTE,
DIRE02,VICE-PRESIDENTE,
CAS-2,COORD. DE FINANÇAS,
DIRI01,DIRETORA,
DAS,SECRETARIO ADJUNTO,1016
SEC,SECRETÁRIO DE ESTADO DA FAZENDA,
DIRE01,DIRETORA DE HIDROLOGIA E GESTÃO TERITORIAL,
DIRE02,DIRETORA DE HIDROLOGIA E GESTÃO TERITORIAL,
DIRE01,DIRETORA TECNICA,
PREE02,PRESIDENTE,
DIRE01,DIRETOR-EXECUTIVO DE OPERAÇÃO E LOGÍSTICA,
PROC,PROCURADOR-GERAL DO ESTADO,NA
NES,COMANDANTE,45
NES,SECRETARIO-GERAL,80
DIRE01,DIRETOR FINANCEIRO E DE CRÉDITO,
PRE,PRESIDENTE,NA
DEPUTA,DEPUTADO ESTADUAL,
BCD,DIRETOR SERVIDOR DO BANCO CENTRAL,IRS
